date,ShortRate,ShortRate_Change,PolicyRate,PolicyRate_Change,RealGDP,RealGDP_Log,RealGDP_Log_Change,GDP Deflator_logged,GDP Deflators CPI Proxy,CPI,CPI Log Growth Rate
1977Q3,6.340166666666666,-1.120233333333334,7.0,-1.25,268717.0,12.50141406018694,0.00645881312848573,3.040447615412873,0.02091933338612817,1.57624633431086,-1.0403351283991855
1977Q4,5.732399999999999,-0.6077666666666666,6.333333333333333,-0.666666666666667,273279.0,12.518248530325062,0.01683447013812156,3.0678694425222823,0.027421827109409325,1.4615662215806398,-0.07553766748071233
1978Q1,5.913633333333333,0.18123333333333402,6.5,0.16666666666666696,275841.0,12.527579891740917,0.009331361415855,3.1043356982136667,0.0364662556913844,1.7072736973146,0.15538915392613079
1978Q2,8.2513,2.3376666666666672,8.833333333333334,2.333333333333334,279001.0,12.53897064502647,0.011390753285553501,3.132156118656898,0.027820420443231075,2.72774960657458,0.4685791801585881
1978Q3,9.1087,0.8574000000000002,10.0,1.166666666666666,282797.0,12.55248460474461,0.01351395971813929,3.1465783233972235,0.01442220474032574,1.7361702127659395,-0.45179528906232125
1978Q4,11.138033333333333,2.029333333333332,11.666666666666666,1.666666666666666,285314.0,12.561345607150814,0.008861002406204577,3.1731762923840394,0.02659796898681588,1.6898109419441398,-0.027065006254883506
1979Q1,11.918033333333334,0.7800000000000011,13.166666666666666,1.5,284457.0,12.558337378770357,-0.003008228380457112,3.2074118741031175,0.034235581719078034,3.10957551826258,0.6098695735658843
1979Q2,12.012233333333333,0.09419999999999895,12.666666666666666,-0.5,296841.0,12.600951920896614,0.04261454212625715,3.2319594004941443,0.024547526391026864,3.670017552257859,0.16571021711561817
1979Q3,13.3498,1.3375666666666675,14.0,1.333333333333334,290297.0,12.578659815822224,-0.022292105074390278,3.3049198652115144,0.07296046471737005,6.69539787594276,0.6012239615096355
1979Q4,15.1374,1.7875999999999994,16.0,2.0,293265.0,12.5888319161027,0.010172100280476215,3.3466010126212153,0.04168114740970097,2.8130409694171696,-0.8671543124799148
1980Q1,16.197733333333332,1.0603333333333325,17.0,1.0,290378.0,12.57893880148727,-0.009893114615429965,3.3941670830383743,0.04756607041715899,4.714466114774809,0.5163695847330947
1980Q2,15.934599999999998,-0.2631333333333341,17.0,0.0,284713.0,12.559236934324103,-0.019701867163167464,3.4395030844081558,0.04533600136978144,5.81535575505828,0.20986628450768063
